latitude:6.17059007;longitude:-75.33705284;altitude:2108.709716796875;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:201.3000030517578;speed:2.0199999809265137;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17053447;longitude:-75.33704853;altitude:2103.6953125;accuracy:6.432000160217285;vertical_accuracy:12.0;bearing:182.0;speed:1.8700000047683716;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.1704852;longitude:-75.33704472;altitude:2101.29052734375;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:195.60000610351562;speed:1.7100000381469727;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.1704532;longitude:-75.33704414;altitude:2103.474365234375;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:194.39999389648438;speed:0.7900000214576721;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17043465;longitude:-75.33702413;altitude:2114.435791015625;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:155.60000610351562;speed:1.2799999713897705;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17040355;longitude:-75.33700723;altitude:2113.912109375;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:170.3000030517578;speed:1.600000023841858;elapsedMs:11;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17032869;longitude:-75.33704887;altitude:2116.14599609375;accuracy:11.791999816894531;vertical_accuracy:12.0;bearing:218.60000610351562;speed:2.859999895095825;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17022276;longitude:-75.33713341;altitude:2116.911376953125;accuracy:11.791999816894531;vertical_accuracy:12.0;bearing:210.8000030517578;speed:4.289999961853027;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17013467;longitude:-75.33716991;altitude:2116.1875;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:200.39999389648438;speed:2.9800000190734863;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17003178;longitude:-75.33719424;altitude:2114.58251953125;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:181.89999389648438;speed:2.2100000381469727;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16995473;longitude:-75.33721329;altitude:2110.408935546875;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:183.60000610351562;speed:1.9199999570846558;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16990719;longitude:-75.33722014;altitude:2110.795654296875;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:178.5;speed:2.0299999713897705;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.1698572;longitude:-75.33722872;altitude:2116.987060546875;accuracy:6.432000160217285;vertical_accuracy:12.0;bearing:188.5;speed:2.559999942779541;elapsedMs:11;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16980913;longitude:-75.33724344;altitude:2116.950927734375;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:193.3000030517578;speed:1.6100000143051147;elapsedMs:15;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16977939;longitude:-75.33725434;altitude:2116.900146484375;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:194.10000610351562;speed:1.4299999475479126;elapsedMs:12;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16975849;longitude:-75.33726257;altitude:2116.665771484375;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.1697472;longitude:-75.33726135;altitude:2116.281005859375;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:146.10000610351562;speed:0.5;elapsedMs:4;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16972341;longitude:-75.33724562;altitude:2116.14208984375;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:126.9000015258789;speed:1.3600000143051147;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16969748;longitude:-75.33721414;altitude:2115.59619140625;accuracy:9.648000717163086;vertical_accuracy:8.0;bearing:109.30000305175781;speed:1.350000023841858;elapsedMs:14;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16969133;longitude:-75.33720071;altitude:2116.249755859375;accuracy:8.576000213623047;vertical_accuracy:8.0;bearing:90.0999984741211;speed:0.8100000023841858;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16969859;longitude:-75.33721456;altitude:2116.223876953125;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16969203;longitude:-75.33725516;altitude:2117.354736328125;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:16;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16968334;longitude:-75.33727821;altitude:2117.274169921875;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16968036;longitude:-75.33727914;altitude:2119.0244140625;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16967691;longitude:-75.33727312;altitude:2120.010986328125;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:18;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16966668;longitude:-75.33728875;altitude:2112.939697265625;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16961697;longitude:-75.33731494;altitude:2112.16552734375;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:188.39999389648438;speed:4.269999980926514;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16951135;longitude:-75.33733685;altitude:2119.965087890625;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:191.6999969482422;speed:4.380000114440918;elapsedMs:9;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16940889;longitude:-75.33737196;altitude:2123.77783203125;accuracy:7.504000186920166;vertical_accuracy:8.0;bearing:192.5;speed:3.5199999809265137;elapsedMs:4;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16932783;longitude:-75.33741057;altitude:2125.419189453125;accuracy:8.576000213623047;vertical_accuracy:8.0;bearing:194.39999389648438;speed:3.240000009536743;elapsedMs:13;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16927103;longitude:-75.33743894;altitude:2123.28955078125;accuracy:8.576000213623047;vertical_accuracy:8.0;bearing:193.3000030517578;speed:1.8600000143051147;elapsedMs:4;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16924272;longitude:-75.33746448;altitude:2123.538818359375;accuracy:8.576000213623047;vertical_accuracy:8.0;bearing:204.0;speed:1.5199999809265137;elapsedMs:2;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16920807;longitude:-75.33747045;altitude:2114.791748046875;accuracy:7.504000186920166;vertical_accuracy:8.0;bearing:204.1999969482422;speed:1.7300000190734863;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16915579;longitude:-75.33745259;altitude:2113.90478515625;accuracy:7.504000186920166;vertical_accuracy:8.0;bearing:180.5;speed:2.509999990463257;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16911229;longitude:-75.33743813;altitude:2114.06591796875;accuracy:6.432000160217285;vertical_accuracy:6.0;bearing:189.60000610351562;speed:0.7699999809265137;elapsedMs:4;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16910116;longitude:-75.33744319;altitude:2114.175048828125;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:248.1999969482422;speed:1.2000000476837158;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16906393;longitude:-75.33746776;altitude:2112.5576171875;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:214.1999969482422;speed:1.6299999952316284;elapsedMs:11;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16901691;longitude:-75.33748554;altitude:2111.4326171875;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:198.10000610351562;speed:0.15000000596046448;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 5)
latitude:6.16899603;longitude:-75.33748763;altitude:2109.5712890625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16897647;longitude:-75.33748632;altitude:2108.927490234375;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:246.6999969482422;speed:0.17000000178813934;elapsedMs:11;provider:gps;(2021, 5, 18, 13, 6)
