latitude:6.26486647;longitude:-75.56922475;altitude:1480.17041015625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:278.3999938964844;speed:12.920000076293945;elapsedMs:13;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26489943;longitude:-75.5694803;altitude:1477.65478515625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:277.1000061035156;speed:13.989999771118164;elapsedMs:11;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26495116;longitude:-75.56971985;altitude:1479.465087890625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:282.29998779296875;speed:13.390000343322754;elapsedMs:12;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26495424;longitude:-75.57009346;altitude:1476.331298828125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:276.20001220703125;speed:16.360000610351562;elapsedMs:13;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26500785;longitude:-75.57042148;altitude:1476.1837158203125;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:279.1000061035156;speed:17.450000762939453;elapsedMs:19;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26505136;longitude:-75.57073087;altitude:1476.835693359375;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:278.8999938964844;speed:17.65999984741211;elapsedMs:19;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26509906;longitude:-75.57104345;altitude:1476.6307373046875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:278.79998779296875;speed:17.239999771118164;elapsedMs:11;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26516091;longitude:-75.57134359;altitude:1473.298583984375;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:280.20001220703125;speed:16.829999923706055;elapsedMs:3;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26519409;longitude:-75.57170623;altitude:1473.3369140625;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:278.1000061035156;speed:17.549999237060547;elapsedMs:13;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26523578;longitude:-75.57202707;altitude:1475.5142822265625;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:278.0;speed:18.200000762939453;elapsedMs:10;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26530249;longitude:-75.5723632;altitude:1474.18017578125;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:278.6000061035156;speed:18.610000610351562;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.2653606;longitude:-75.57271666;altitude:1473.5247802734375;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:278.6000061035156;speed:19.31999969482422;elapsedMs:10;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26542088;longitude:-75.57307812;altitude:1474.186279296875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:278.8999938964844;speed:20.329999923706055;elapsedMs:18;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26546859;longitude:-75.57346134;altitude:1476.8251953125;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:279.8999938964844;speed:21.079999923706055;elapsedMs:12;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26553081;longitude:-75.57381894;altitude:1475.3553466796875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:280.0;speed:20.790000915527344;elapsedMs:16;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26558738;longitude:-75.57421032;altitude:1475.8695068359375;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:278.70001220703125;speed:21.899999618530273;elapsedMs:5;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26564761;longitude:-75.57457683;altitude:1475.78515625;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:278.6000061035156;speed:21.1299991607666;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26570445;longitude:-75.57495446;altitude:1475.6163330078125;accuracy:7.504000186920166;vertical_accuracy:6.0;bearing:278.6000061035156;speed:21.1299991607666;elapsedMs:1;provider:gps;(2020, 12, 13, 15, 7)
